block,number_turns_equality,speaking_duration_equality,norm_num_overlaps
0,76.37626158259732,71.20509336438211,0.5
1,83.33333333333334,100.7459692121628,0.0
2,60.60915267313264,43.997755273829625,0.0
3,82.61355820929153,113.9868229709009,1.0
4,123.74368670764582,117.05336870103464,0.0
5,40.563631041430526,50.37852256853861,1.5
6,133.73337423625932,146.1775870753147,0.25
7,47.14045207910317,87.68124086713189,0.5
8,15.061311370164148,51.588492086051396,0.5
9,66.09084656743322,59.99328575713703,1.25
10,71.19868030772992,83.10370431267067,0.5
11,60.60915267313265,119.29957984264657,0.5
12,45.8257569495584,74.9098616023486,0.25
13,44.09585518440984,66.95900754995343,0.5
14,103.70899457402696,129.58432642008975,0.0
15,103.70899457402696,102.90192068629136,0.32608695652173914
